                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2103,                 3.4301,                 2.4816,                0.00324,                0.97059,                0.39644,                0.16619,                 1.4849,                 3.3096,                  2.047,               0.070667,              0.0032593,              0.0032593
                      1,                 1.6198,                 2.5894,                 1.8917,                0.11328,                0.09804,                0.13431,                0.03159,                 2.1388,                 3.4365,                 2.5014,               0.038491,               0.004417,               0.004417
                      2,                 1.5206,                 2.0172,                 1.7624,                0.52905,                 0.4902,                0.46144,                0.09578,                  2.256,                 2.5896,                 2.3346,              0.0041156,              0.0033748,              0.0033748
