r,p,y
24.3,-26.9,13.5
19.0,-14.0,11.2
3.1,-3.3,9.5
1.3,-2.3,9.6
1.7,-3.1,9.8
2.2,-3.9,10.2
5.2,-15.9,12.5
24.1,-27.7,13.8
22.0,-22.0,13.1
11.9,-8.7,10.9
2.2,-3.3,9.8
1.4,-2.6,9.8
1.8,-3.4,10.0
2.2,-4.2,10.4
9.5,-18.8,13.4
23.5,-28.0,14.1
20.5,-20.2,12.9
9.1,-7.8,11.0
1.4,-3.0,10.0
1.4,-2.9,10.1
1.9,-3.9,10.3
2.1,-4.3,10.6
13.0,-21.0,13.6
23.5,-28.0,14.4
19.1,-16.6,12.5
6.7,-6.3,10.9
1.3,-2.7,10.3
1.6,-3.2,10.3
2.1,-4.3,10.6
2.1,-4.8,10.8
19.7,-24.6,14.4
23.6,-25.6,14.5
14.1,-10.3,12.0
3.0,-4.1,10.6
1.5,-3.1,10.7
1.9,-3.9,10.8
2.3,-4.6,11.3
4.9,-16.2,13.3
23.8,-28.2,15.0
20.2,-19.6,13.9
6.7,-7.1,11.8
1.5,-2.7,10.8
1.8,-3.4,11.0
2.2,-4.2,11.1
2.4,-4.7,11.4
18.0,-23.9,14.6
23.0,-27.0,15.3
16.2,-12.1,12.4
2.7,-4.1,10.8
0.8,-2.8,10.9
1.4,-3.8,11.1
1.7,-4.4,11.4
2.9,-15.1,13.0
21.5,-27.2,15.6
22.0,-23.3,14.7
11.9,-9.5,12.4
1.7,-3.5,11.0
1.2,-3.1,11.0
1.8,-4.2,11.3
2.1,-4.6,11.6
7.6,-18.1,14.0
23.5,-28.7,15.2
19.0,-18.2,14.1
6.4,-6.4,12.0
1.5,-3.1,11.3
1.7,-3.6,11.5
2.1,-4.4,11.6
2.4,-4.8,11.9
15.3,-22.2,14.6
24.2,-27.4,15.6
17.0,-12.7,13.1
3.6,-4.4,11.5
1.6,-3.2,11.6
2.1,-4.1,11.8
2.4,-4.8,12.2
6.3,-17.3,14.4
23.8,-28.4,15.8
21.9,-22.5,15.1
6.6,-6.7,12.5
1.6,-3.4,11.9
1.8,-3.7,12.0
2.2,-4.3,12.1
2.5,-4.9,12.5
17.0,-23.4,15.3
24.3,-27.9,16.1
18.2,-14.9,13.8
4.9,-5.1,11.9
1.8,-3.2,12.0
2.5,-4.5,12.4
2.8,-5.1,12.7
2.0,-13.9,13.6
23.0,-28.2,16.4
22.7,-23.4,15.6
11.5,-9.4,13.7
2.5,-4.0,12.5
2.0,-3.4,12.5
2.6,-4.5,12.7
2.9,-5.1,13.0
6.6,-17.4,15.3
24.3,-28.6,16.5
22.5,-22.8,15.7
10.8,-9.1,13.9
2.5,-3.9,12.7
2.0,-3.3,12.7
2.4,-4.2,12.9
3.0,-5.2,13.5
7.0,-17.9,15.5
23.7,-28.8,16.8
21.6,-22.3,16.1
9.9,-8.9,14.2
2.3,-4.1,13.0
